Source: Bijlsma, G. 1999: Sex determination of nestling Common Buzzards buteo buteo. Limosa 72, 1-10; Bijlsma, G. 1997: Handleiding veldonderzoek roofvogels.  KNNV Uitgeverij
age	variable	unit	mean	sd	n	range	sex	species
28	wing	mm	213.7	11.1	15	191-236	female	Buzzard
29	wing	mm	220.1	13.6	17	187-248	female	Buzzard
30	wing	mm	228.2	13.7	16	196-252	female	Buzzard
31	wing	mm	235.9	12.2	16	215-260	female	Buzzard
32	wing	mm	243.9	13.4	14	223-269	female	Buzzard
33	wing	mm	251.5	14.4	13	232-281	female	Buzzard
34	wing	mm	258.1	12.5	13	236-280	female	Buzzard
35	wing	mm	263	10.7	13	246-284	female	Buzzard
36	wing	mm	274.3	14.8	10	254-306	female	Buzzard
37	wing	mm	281	13.8	12	261-311	female	Buzzard
38	wing	mm	284.8	13.9	13	265-314	female	Buzzard
39	wing	mm	295.1	13.2	8	278-323	female	Buzzard
40	wing	mm	301.4	12.4	11	282-328	female	Buzzard
41	wing	mm	306.7	10.9	12	290-332	female	Buzzard
42	wing	mm	312.6	13.1	10	295-341	female	Buzzard
43	wing	mm	318.5	13.7	8	304-344	female	Buzzard
44	wing	mm	324.5	14.7	6	309-439	female	Buzzard
45	wing	mm	327	14.4	5	312-353	female	Buzzard
46	wing	mm	332.8	8.8	4	320-345	female	Buzzard
47	wing	mm	332.3	5.6	3	327-340	female	Buzzard
48	wing	mm	336	4	2	332-340	female	Buzzard
49	wing	mm	344	NA	1	344-344	female	Buzzard
50	wing	mm	350	NA	1	350-350	female	Buzzard
